Segundo,Bytes_Por_Segundo
40.24831572,1444
40.248369949,1444
40.248448495,1444
40.248502008,1444
40.248579612,1444
40.24865696,1444
40.24872548,1444
40.248780578,1444
40.248842338,1444
40.248896998,1444
40.24897353,1444
40.24903627,1444
40.249106769,1444
40.249161297,1444
40.249239568,1444
40.249294414,1444
40.249369706,1444
40.249436148,1444
40.249501412,1444
40.24955901,1444
40.249633489,1444
40.249706662,1444
40.249765777,1444
40.249823814,1444
40.249896499,1444
40.249955277,1444
40.25002844,1444
40.250095006,1444
40.2501618,1444
40.250217193,1444
40.250293765,1444
40.250348179,1444
40.250424499,1444
40.250490041,1444
40.250555539,1444
40.250611444,1444
40.250707932,1444
40.250778678,1444
40.250820643,1444
40.250904851,1444
40.250953979,1444
40.251012934,1444
40.251084819,1444
40.251160628,1444
40.251214632,1444
40.251275243,1444
40.251348572,1444
40.251407353,1444
40.251478563,1444
40.251538221,1444
40.25160949,1444
40.251668659,1444
40.25174274,1444
40.251820466,1444
40.251873618,1444
40.251938195,1444
40.252006665,1444
40.252064187,1444
40.25213874,1444
40.252197897,1444
40.252269768,1444
40.252335719,1444
40.252400709,1444
40.252458523,1444
40.252533648,1444
40.252593047,1444
40.252665739,1444
40.252724904,1444
40.252795784,1444
40.25315636,1444
40.253293069,1444
40.253304741,1444
40.253310885,1444
40.253316709,1444
40.25336982,1444
40.253377414,1444
40.253382445,1444
40.253389814,1444
40.253522508,1444
40.253585776,1444
40.253593506,1444
40.253650457,1444
40.253719429,1444
40.253779056,1444
40.253850526,1444
40.253907616,1444
40.253981639,1444
40.254058945,1444
40.254114441,1444
40.254171836,1444
40.254245681,1444
40.254301821,1444
40.254377378,1444
40.254436574,1444
40.254508775,1444
40.25456754,1444
40.254641536,1444
40.254697372,1444
40.254772572,1444
40.254832313,1444
40.254904748,1444
40.254975897,1444
40.255037745,1444
40.255108333,1444
40.25516963,1444
40.255229912,1444
40.255300508,1444
40.255356815,1444
40.255431742,1444
40.255485899,1444
40.255563667,1444
40.255636859,1444
40.255695448,1444
40.255753631,1444
40.25582661,1444
40.255880222,1444
40.255968282,1444
40.256044924,1444
40.256093684,1444
40.256168878,1444
40.25622175,1444
40.256274692,1444
40.256353757,1444
40.256413756,1444
40.256485765,1444
40.256544411,1444
40.256617792,1444
40.256672457,1444
40.256749491,1444
40.256806973,1444
40.256880464,1444
40.256939194,1444
40.257012509,1444
40.257066086,1444
40.257145623,1444
40.257236251,1444
40.25729775,1444
40.257350437,1444
