Segundos_em_0.1,Bytes_Por_0.1_Segundo,Quantidade_pacotes
10.0,193496,134
10.1,257032,178
10.2,257032,178
10.3,259920,180
10.4,257032,178
10.5,257032,178
10.6,257032,178
10.7,257032,178
10.8,259920,180
10.9,257032,178
11.0,257032,178
11.1,257032,178
11.2,257032,178
11.3,259920,180
11.4,257032,178
11.5,257032,178
11.6,257032,178
11.7,257032,178
11.8,259920,180
11.9,257032,178
12.0,257032,178
12.1,257032,178
12.2,257032,178
12.3,259920,180
12.4,257032,178
12.5,257032,178
12.6,257032,178
12.7,257032,178
12.8,259920,180
12.9,257032,178
13.0,257032,178
13.1,257032,178
13.2,257032,178
13.3,259920,180
13.4,257032,178
13.5,257032,178
13.6,257032,178
13.7,257032,178
13.8,259920,180
13.9,257032,178
14.0,257032,178
14.1,257032,178
14.2,257032,178
14.3,259920,180
14.4,257032,178
14.5,257032,178
14.6,257032,178
14.7,257032,178
14.8,259920,180
14.9,257032,178
15.0,257032,178
15.1,257032,178
15.2,257032,178
15.3,259920,180
15.4,257032,178
15.5,257032,178
15.6,257032,178
15.7,257032,178
15.8,259920,180
15.9,257032,178
16.0,257032,178
16.1,257032,178
16.2,257032,178
16.3,259920,180
16.4,257032,178
16.5,257032,178
16.6,257032,178
16.7,257032,178
16.8,259920,180
16.9,257032,178
17.0,257032,178
17.1,257032,178
17.2,257032,178
17.3,259920,180
17.4,257032,178
17.5,257032,178
17.6,257032,178
17.7,257032,178
17.8,259920,180
17.9,257032,178
18.0,257032,178
18.1,257032,178
18.2,257032,178
18.3,259920,180
18.4,257032,178
18.5,257032,178
18.6,257032,178
18.7,257032,178
18.8,259920,180
18.9,257032,178
19.0,257032,178
19.1,257032,178
19.2,257032,178
19.3,257032,178
19.4,259920,180
19.5,257032,178
19.6,257032,178
19.7,257032,178
19.8,259920,180
19.9,257032,178
20.0,257032,178
20.1,257032,178
20.2,257032,178
20.3,259920,180
20.4,257032,178
20.5,257032,178
20.6,257032,178
20.7,257032,178
20.8,259920,180
20.9,257032,178
21.0,257032,178
21.1,257032,178
21.2,257032,178
21.3,259920,180
21.4,257032,178
21.5,257032,178
21.6,257032,178
21.7,257032,178
21.8,259920,180
21.9,257032,178
22.0,257032,178
22.1,257032,178
22.2,257032,178
22.3,259920,180
22.4,257032,178
22.5,257032,178
22.6,257032,178
22.7,257032,178
22.8,259920,180
22.9,257032,178
23.0,257032,178
23.1,257032,178
23.2,257032,178
23.3,259920,180
23.4,257032,178
23.5,257032,178
23.6,257032,178
23.7,257032,178
23.8,259920,180
23.9,257032,178
24.0,257032,178
24.1,257032,178
24.2,257032,178
24.3,259920,180
24.4,257032,178
24.5,257032,178
24.6,257032,178
24.7,257032,178
24.8,259920,180
24.9,257032,178
25.0,257032,178
25.1,257032,178
25.2,257032,178
25.3,259920,180
25.4,257032,178
25.5,257032,178
25.6,257032,178
25.7,257032,178
25.8,259920,180
25.9,257032,178
26.0,257032,178
26.1,257032,178
26.2,257032,178
26.3,259920,180
26.4,257032,178
26.5,257032,178
26.6,257032,178
26.7,257032,178
26.8,259920,180
26.9,257032,178
27.0,257032,178
27.1,257032,178
27.2,257032,178
27.3,259920,180
27.4,257032,178
27.5,257032,178
27.6,257032,178
27.7,257032,178
27.8,259920,180
27.9,257032,178
28.0,257032,178
28.1,257032,178
28.2,257032,178
28.3,259920,180
28.4,257032,178
28.5,257032,178
28.6,257032,178
28.7,257032,178
28.8,259920,180
28.9,257032,178
29.0,257032,178
29.1,257032,178
29.2,257032,178
29.3,259920,180
29.4,257032,178
29.5,257032,178
29.6,257032,178
29.7,257032,178
29.8,259920,180
29.9,257032,178
30.0,257032,178
30.1,257032,178
30.2,257032,178
30.3,259920,180
30.4,257032,178
30.5,257032,178
30.6,257032,178
30.7,257032,178
30.8,259920,180
30.9,257032,178
31.0,257032,178
31.1,257032,178
31.2,257032,178
31.3,259920,180
31.4,257032,178
31.5,257032,178
31.6,257032,178
31.7,257032,178
31.8,259920,180
31.9,257032,178
32.0,257032,178
32.1,257032,178
32.2,257032,178
32.3,259920,180
32.4,257032,178
32.5,257032,178
32.6,257032,178
32.7,257032,178
32.8,259920,180
32.9,257032,178
33.0,257032,178
33.1,257032,178
33.2,257032,178
33.3,259920,180
33.4,257032,178
33.5,257032,178
33.6,257032,178
33.7,257032,178
33.8,259920,180
33.9,257032,178
34.0,257032,178
34.1,257032,178
34.2,257032,178
34.3,259920,180
34.4,257032,178
34.5,257032,178
34.6,257032,178
34.7,257032,178
34.8,259920,180
34.9,257032,178
35.0,124184,86
