Segundos_em_0.001,Bytes_Por_0.001_Segundo,Quantidade_pacotes
9.975,2888,2
9.976,1444,1
9.977,1444,1
9.978,2888,2
9.979,2888,2
9.98,2888,2
9.981,2888,2
9.982,2888,2
9.983,2888,2
9.984,2888,2
9.985,1444,1
9.986,1444,1
9.987,2888,2
9.988,2888,2
9.989,2888,2
9.99,2888,2
9.991,2888,2
9.992,2888,2
9.993,2888,2
9.994,1444,1
9.995,1444,1
9.996,2888,2
9.997,2888,2
9.998,2888,2
9.999,2888,2
10.0,2888,2
10.001,2888,2
10.002,2888,2
10.003,2888,2
10.005,2888,2
10.006,2888,2
10.007,2888,2
10.008,2888,2
10.009,2888,2
10.01,2888,2
10.011,2888,2
10.012,2888,2
10.013,1444,1
10.014,1444,1
10.015,2888,2
10.016,2888,2
10.017,2888,2
10.018,2888,2
10.019,2888,2
10.02,2888,2
10.021,2888,2
10.022,1444,1
10.023,1444,1
10.024,2888,2
10.025,2888,2
10.026,2888,2
10.027,2888,2
10.028,2888,2
10.029,2888,2
10.03,2888,2
10.031,2888,2
10.033,2888,2
10.034,2888,2
10.035,2888,2
10.036,2888,2
10.037,2888,2
10.038,2888,2
10.039,2888,2
10.04,1444,1
10.041,2888,2
10.042,1444,1
10.043,2888,2
10.044,2888,2
10.045,2888,2
10.046,2888,2
10.047,2888,2
10.048,2888,2
10.05,4332,3
10.051,1444,1
10.052,2888,2
10.053,2888,2
10.054,2888,2
10.055,2888,2
10.056,2888,2
10.057,2888,2
10.058,1444,1
10.059,2888,2
10.06,1444,1
10.061,2888,2
10.062,2888,2
10.063,2888,2
10.064,2888,2
10.065,2888,2
10.066,2888,2
10.067,2888,2
10.068,1444,1
10.069,1444,1
10.07,2888,2
10.071,2888,2
10.072,2888,2
10.073,2888,2
10.074,2888,2
10.075,2888,2
10.076,2888,2
10.077,2888,2
10.078,1444,1
10.079,1444,1
10.08,2888,2
10.081,2888,2
10.082,2888,2
10.083,2888,2
10.084,2888,2
10.085,2888,2
10.086,2888,2
10.087,1444,1
10.088,1444,1
10.089,2888,2
10.09,2888,2
10.091,2888,2
10.092,2888,2
10.093,2888,2
10.094,2888,2
10.095,2888,2
10.096,1444,1
10.097,1444,1
10.098,2888,2
10.099,2888,2
10.1,2888,2
10.101,2888,2
10.102,2888,2
10.103,2888,2
10.104,2888,2
10.105,1444,1
10.106,1444,1
10.107,2888,2
10.108,2888,2
10.109,2888,2
10.11,2888,2
10.111,2888,2
10.112,2888,2
10.113,2888,2
10.114,2888,2
10.115,1444,1
10.116,1444,1
10.117,2888,2
10.118,2888,2
10.119,2888,2
10.12,2888,2
10.121,2888,2
10.122,2888,2
10.123,2888,2
10.124,1444,1
10.125,1444,1
10.126,2888,2
10.127,2888,2
10.128,2888,2
10.129,2888,2
10.13,2888,2
10.131,2888,2
10.132,2888,2
10.133,1444,1
10.134,1444,1
10.135,2888,2
10.136,2888,2
10.137,2888,2
10.138,2888,2
10.139,2888,2
10.14,2888,2
10.141,2888,2
10.142,2888,2
10.144,2888,2
10.145,2888,2
10.146,2888,2
10.147,2888,2
10.148,2888,2
10.149,2888,2
10.15,2888,2
10.151,2888,2
10.152,1444,1
10.153,1444,1
10.154,2888,2
10.155,2888,2
10.156,2888,2
10.157,2888,2
10.158,2888,2
10.159,2888,2
10.16,2888,2
10.161,1444,1
10.162,1444,1
10.163,2888,2
10.164,2888,2
10.165,2888,2
10.166,2888,2
10.167,2888,2
10.168,2888,2
10.169,2888,2
10.17,2888,2
10.172,2888,2
10.173,2888,2
10.174,2888,2
10.175,2888,2
10.176,2888,2
10.177,2888,2
10.178,2888,2
10.179,2888,2
10.181,2888,2
10.182,2888,2
10.183,2888,2
10.184,2888,2
10.185,2888,2
10.186,2888,2
10.187,2888,2
10.188,2888,2
10.189,1444,1
10.19,1444,1
10.191,2888,2
10.192,2888,2
10.193,2888,2
10.194,2888,2
10.195,2888,2
10.196,2888,2
10.197,2888,2
10.198,1444,1
10.199,1444,1
10.2,2888,2
10.201,2888,2
10.202,2888,2
10.203,2888,2
10.204,2888,2
10.205,2888,2
10.206,2888,2
10.207,1444,1
10.208,1444,1
10.209,2888,2
10.21,2888,2
10.211,2888,2
10.212,2888,2
10.213,2888,2
10.214,2888,2
10.215,2888,2
10.216,2888,2
10.218,2888,2
10.219,2888,2
10.22,2888,2
10.221,2888,2
10.222,2888,2
10.223,2888,2
10.224,2888,2
10.225,2888,2
10.226,1444,1
10.227,1444,1
10.228,2888,2
10.229,2888,2
10.23,2888,2
10.231,2888,2
10.232,2888,2
10.233,2888,2
10.234,2888,2
10.235,1444,1
10.236,1444,1
10.237,2888,2
10.238,2888,2
10.239,2888,2
10.24,2888,2
10.241,2888,2
10.242,2888,2
10.243,2888,2
10.244,1444,1
10.245,1444,1
10.246,2888,2
10.247,2888,2
10.248,2888,2
10.249,2888,2
10.25,2888,2
10.251,2888,2
10.252,2888,2
10.253,1444,1
10.254,1444,1
10.255,2888,2
10.256,2888,2
10.257,2888,2
10.258,2888,2
10.259,2888,2
10.26,2888,2
10.261,2888,2
