Segundos_em_0.0001,Bytes_Por_0.0001_Segundo,Quantidade_pacotes
10.1559,1444,1
10.156,1444,1
10.157,1444,1
10.1571,1444,1
10.1581,1444,1
10.1582,1444,1
10.1592,1444,1
10.1593,1444,1
10.1603,1444,1
10.1604,1444,1
10.1614,1444,1
10.1616,1444,1
10.1626,1444,1
10.1627,1444,1
10.1637,1444,1
10.1638,1444,1
10.1648,1444,1
10.165,1444,1
10.1659,1444,1
10.1661,1444,1
10.1671,1444,1
10.1674,1444,1
10.1682,1444,1
10.1683,1444,1
10.1693,1444,1
10.1694,1444,1
10.1704,1444,1
10.1705,1444,1
10.1715,1444,1
10.1716,1444,1
10.1727,2888,2
10.1738,2888,2
10.1749,1444,1
10.175,1444,1
10.176,1444,1
10.1761,1444,1
10.1771,1444,1
10.1772,1444,1
10.1783,2888,2
10.1794,1444,1
10.1795,1444,1
10.1805,1444,1
10.1806,1444,1
10.1816,1444,1
10.1817,1444,1
10.1828,1444,1
10.1829,1444,1
10.1839,1444,1
10.184,1444,1
10.185,1444,1
10.1851,1444,1
10.1861,1444,1
10.1862,1444,1
10.1872,1444,1
10.1873,1444,1
10.1884,2888,2
10.1895,1444,1
10.1896,1444,1
10.1906,1444,1
10.1907,1444,1
10.1917,1444,1
10.1919,1444,1
10.1928,1444,1
10.193,1444,1
10.194,1444,1
10.1941,1444,1
10.1951,1444,1
10.1952,1444,1
10.1962,1444,1
10.1963,1444,1
10.1973,1444,1
10.1974,1444,1
10.1984,1444,1
10.1986,1444,1
10.1996,1444,1
10.1997,1444,1
10.2007,1444,1
10.2008,1444,1
10.2022,1444,1
10.2023,1444,1
10.2029,1444,1
10.203,1444,1
10.204,1444,1
10.2041,1444,1
10.2052,2888,2
10.2063,1444,1
10.2064,1444,1
10.2074,1444,1
10.2075,1444,1
10.2085,1444,1
10.2086,1444,1
10.2097,1444,1
10.2098,1444,1
10.2108,1444,1
10.2109,1444,1
10.2119,1444,1
10.212,1444,1
10.213,1444,1
10.2131,1444,1
10.2141,1444,1
10.2142,1444,1
10.2153,1444,1
10.2154,1444,1
10.2164,1444,1
10.2165,1444,1
10.2175,1444,1
10.2176,1444,1
10.2186,1444,1
10.2187,1444,1
10.2198,1444,1
10.2199,1444,1
10.2209,1444,1
10.221,1444,1
10.222,1444,1
10.2221,1444,1
10.2231,1444,1
10.2232,1444,1
10.2242,1444,1
10.2244,1444,1
10.2253,1444,1
10.2255,1444,1
10.2265,1444,1
10.2266,1444,1
10.2276,1444,1
10.2277,1444,1
10.2287,1444,1
10.2289,1444,1
10.2298,1444,1
10.23,1444,1
10.231,1444,1
10.2311,1444,1
10.2321,1444,1
10.2322,1444,1
10.2332,1444,1
10.2333,1444,1
10.2343,1444,1
10.2344,1444,1
10.2355,1444,1
10.2356,1444,1
10.2366,1444,1
10.2367,1444,1
10.2377,1444,1
10.2378,1444,1
10.2388,1444,1
10.239,1444,1
10.24,1444,1
10.2401,1444,1
10.2411,1444,1
10.2412,1444,1
10.2422,1444,1
10.2423,1444,1
10.2433,1444,1
10.2434,1444,1
10.2444,1444,1
10.2445,1444,1
10.2455,1444,1
10.2456,1444,1
10.2467,2888,2
10.2478,1444,1
10.2479,1444,1
10.2489,1444,1
10.2491,1444,1
10.25,1444,1
10.2501,1444,1
10.2511,1444,1
10.2512,1444,1
10.2523,1444,1
10.2524,1444,1
10.2534,1444,1
10.2535,1444,1
10.2545,1444,1
10.2546,1444,1
10.2556,1444,1
10.2557,1444,1
10.2567,1444,1
10.2568,1444,1
10.2579,1444,1
10.258,1444,1
10.259,1444,1
10.2591,1444,1
10.2601,1444,1
10.2602,1444,1
10.2612,1444,1
10.2613,1444,1
10.2623,1444,1
10.2624,1444,1
10.2635,1444,1
10.2636,1444,1
10.2646,1444,1
10.2647,1444,1
10.2657,1444,1
10.2658,1444,1
10.2668,1444,1
10.2669,1444,1
10.268,2888,2
10.2691,1444,1
10.2692,1444,1
10.2702,1444,1
10.2703,1444,1
10.2713,1444,1
10.2714,1444,1
10.2725,1444,1
10.2726,1444,1
10.2736,2888,2
10.2747,1444,1
10.2748,1444,1
10.2758,1444,1
10.2759,1444,1
10.2769,1444,1
10.277,1444,1
10.2785,1444,1
10.2786,1444,1
10.2792,1444,1
10.2793,1444,1
10.2803,1444,1
10.2804,1444,1
10.2814,1444,1
10.2815,1444,1
10.2825,1444,1
10.2826,1444,1
10.2836,1444,1
10.2837,1444,1
10.2848,1444,1
10.2849,1444,1
10.2859,1444,1
10.286,1444,1
10.287,1444,1
10.2871,1444,1
10.2881,1444,1
10.2883,1444,1
10.2893,1444,1
10.2894,1444,1
10.2904,1444,1
10.2905,1444,1
10.2915,1444,1
10.2916,1444,1
10.2926,1444,1
10.2927,1444,1
10.2938,2888,2
10.2949,1444,1
10.295,1444,1
10.296,1444,1
10.2961,1444,1
10.2971,1444,1
10.2972,1444,1
10.2982,1444,1
10.2983,1444,1
10.2994,1444,1
10.2995,1444,1
10.3005,1444,1
10.3006,1444,1
10.3016,1444,1
10.3017,1444,1
10.3027,1444,1
10.3028,1444,1
10.3038,1444,1
10.304,1444,1
10.305,1444,1
10.3051,1444,1
10.3061,1444,1
10.3062,1444,1
10.3072,1444,1
10.3073,1444,1
10.3083,1444,1
10.3084,1444,1
10.3095,2888,2
10.3105,1444,1
10.3106,1444,1
10.3117,1444,1
10.3118,1444,1
10.3128,1444,1
10.3129,1444,1
10.3139,1444,1
10.314,1444,1
10.315,1444,1
10.3151,1444,1
10.3162,1444,1
10.3163,1444,1
10.3173,1444,1
10.3174,1444,1
10.3184,1444,1
10.3185,1444,1
10.3195,1444,1
10.3197,1444,1
10.3207,1444,1
10.3208,1444,1
10.3218,1444,1
10.3219,1444,1
10.3229,1444,1
10.323,1444,1
10.324,1444,1
10.3241,1444,1
10.3252,2888,2
